,company_id,indicator_id,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2
0,2034,EarningsPerShareDiluted,0.11,0.17,0.2,0.15,0.18,0.17,0.28,0.18,0.4,0.24,0.19,0.19,0.17,0.23,0.29,0.45,0.32,0.28,0.35,0.23
1,2034,WeightedAverageNumberOfSharesOutstandingBasic,26476000.0,26565000.0,26634000.0,-53088000.0,26805000.0,26959000.0,27108000.0,-53822000.0,27757000.0,27873000.0,28087000.0,-55716000.0,28618000.0,28740000.0,28773000.0,-57400000.0,28983000.0,29115000.0,29158000.0,-58146000.0
